scenario,step,raw_mask,filtered_mask,planned_mask,fused_mask,reason,fallback_stage,guard,grace_remaining
stable,0,7,7,8,7,measured-support-stable,0,0,0
noisy-off,1,3,3,8,7,measured-support-grace,1,1,1
recovery,2,7,7,8,7,measured-support-restored,0,0,0
early-touchdown,3,7,3,8,7,measured-support-grace,1,1,1
late-touchdown,4,3,3,8,7,measured-support-grace,2,1,0
grace-expiry,5,3,3,8,3,measured-support-below-three,2,1,0
grace-expiry,6,0,3,8,3,measured-support-below-three,2,1,0
grace-expiry,7,0,3,8,3,measured-support-below-three,2,1,0
grace-expiry,8,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,9,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,10,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,11,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,12,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,13,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,14,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,15,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,16,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,17,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,18,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,19,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,20,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,21,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,22,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,23,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,24,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,25,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,26,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,27,0,3,8,3,measured-support-below-three,5,1,0
grace-expiry,28,0,3,8,3,measured-support-below-three,25,1,0
grace-expiry,29,0,3,8,3,measured-support-below-three,25,1,0
grace-expiry,30,0,3,8,3,measured-support-below-three,25,1,0
reset-before,31,0,0,8,0,measured-support-below-three,25,1,0
reset-after,32,0,0,8,0,measured-support-below-three,1,1,0
planned-never-measured,33,8,0,8,0,measured-support-below-three,2,1,0
identity-mismatch,34,0,0,8,0,adapter-invalid-or-provenance-mismatch,0,1,0
