sim_tick_ms,step_index,phase,cmd_seq_at_publish,cmd_seq_at_ready,exchange_wait_us,publish_wall_us,exchange_trigger,violations,ack_state_seq,ack_cmd_seq
1836,0,barrier,0,2,0,938965351,0,0,0,0
1838,1,lockstep,2,4,3011,938965808,3,0,1838,4
1840,2,lockstep,4,6,3005,938969804,3,0,1840,6
1842,3,lockstep,6,8,3001,938973809,3,0,1842,8
1844,4,lockstep,8,10,3006,938977810,3,0,1844,10
1846,5,lockstep,10,12,2992,938981819,3,0,1846,12
1848,6,lockstep,12,14,3046,938985810,3,0,1848,14
1850,7,lockstep,14,15,1025,938989809,3,0,1850,15
1852,8,lockstep,15,17,2999,938991816,3,0,1852,17
1854,9,lockstep,17,19,3004,938995812,3,0,1854,19
1856,10,lockstep,19,21,3004,938999813,3,0,1856,21
1858,11,lockstep,21,23,2988,939003806,3,0,1858,23
1860,12,lockstep,23,25,3007,939007808,3,0,1860,25
1862,13,lockstep,25,27,3001,939011813,3,0,1862,27
1864,14,lockstep,27,29,3029,939015810,3,0,1864,29
1866,15,lockstep,29,31,2997,939019820,3,0,1866,31
1868,16,lockstep,31,33,3010,939023810,3,0,1868,33
1870,17,lockstep,33,35,2998,939027812,3,0,1870,35
1872,18,lockstep,35,37,2994,939031818,3,0,1872,37
1874,19,lockstep,37,39,2980,939035829,3,0,1874,39
1876,20,lockstep,39,41,2973,939039835,3,0,1876,41
1878,21,lockstep,41,43,3014,939043810,3,0,1878,43
1880,22,lockstep,43,44,1010,939047801,3,0,1880,44
1882,23,lockstep,44,46,2983,939049816,3,0,1882,46
1884,24,lockstep,46,48,3032,939053824,3,0,1884,48
1886,25,lockstep,48,49,992,939057817,3,0,1886,49
1888,26,lockstep,49,51,4007,939059813,3,0,1888,51
1890,27,lockstep,52,53,2021,939064812,3,0,1890,53
1892,28,lockstep,53,55,2987,939067823,3,0,1892,55
1894,29,lockstep,55,57,3033,939071810,3,0,1894,57
1896,30,lockstep,57,59,2996,939075816,3,0,1896,59
1898,31,lockstep,59,61,3002,939079809,3,0,1898,61
1900,32,lockstep,61,63,3015,939083810,3,0,1900,63
1902,33,lockstep,63,65,2997,939087812,3,0,1902,65
1904,34,lockstep,65,67,3003,939091807,3,0,1904,67
1906,35,lockstep,67,69,2997,939095815,3,0,1906,69
1908,36,lockstep,69,71,3029,939099810,3,0,1908,71
1910,37,lockstep,71,73,3020,939103811,3,0,1910,73
1912,38,lockstep,73,75,3015,939107794,3,0,1912,75
1914,39,lockstep,75,77,3011,939111808,3,0,1914,77
1916,40,lockstep,77,79,3000,939115810,3,0,1916,79
1918,41,lockstep,79,81,2998,939119813,3,0,1918,81
1920,42,lockstep,81,83,2998,939123819,3,0,1920,83
1922,43,lockstep,83,84,1008,939127810,3,0,1922,84
1924,44,lockstep,84,86,3000,939129813,3,0,1924,86
1926,45,lockstep,86,88,3019,939133807,3,0,1926,88
1928,46,lockstep,88,89,951,939137865,3,0,1928,89
1930,47,lockstep,89,91,2995,939139814,3,0,1930,91
1932,48,lockstep,91,93,2994,939143825,3,0,1932,93
1934,49,lockstep,93,95,3073,939147800,3,0,1934,95
1936,50,lockstep,95,97,3000,939151816,3,0,1936,97
1938,51,lockstep,97,99,3001,939155817,3,0,1938,99
1940,52,lockstep,99,100,988,939159809,3,0,1940,100
1942,53,lockstep,100,102,3009,939161808,3,0,1942,102
1944,54,lockstep,102,104,3003,939165813,3,0,1944,104
1946,55,lockstep,104,106,3959,939169856,3,0,1946,106
1948,56,lockstep,107,108,2001,939174813,3,0,1948,108
1950,57,lockstep,108,110,2997,939177812,3,0,1950,110
1952,58,lockstep,110,112,2997,939181817,3,0,1952,112
1954,59,lockstep,112,114,2982,939185824,3,0,1954,114
1956,60,lockstep,114,116,2945,939189866,3,0,1956,116
1958,61,lockstep,116,118,2997,939193812,3,0,1958,118
1960,62,lockstep,118,120,3001,939197810,3,0,1960,120
1962,63,lockstep,120,122,3000,939201811,3,0,1962,122
1964,64,lockstep,122,124,2999,939205814,3,0,1964,124
1966,65,lockstep,124,126,2967,939209842,3,0,1966,126
1968,66,lockstep,126,130,6982,939213828,3,0,1968,130
1970,67,lockstep,130,132,3001,939221810,3,0,1970,132
1972,68,lockstep,132,134,3004,939225809,3,0,1972,134
1974,69,lockstep,134,136,2952,939229856,3,0,1974,136
1976,70,lockstep,136,138,2997,939233817,3,0,1976,138
1978,71,lockstep,138,139,1022,939237795,3,0,1978,139
1980,72,lockstep,139,141,3002,939239809,3,0,1980,141
1982,73,lockstep,141,143,2988,939243809,3,0,1982,143
1984,74,lockstep,143,145,3012,939247809,3,0,1984,145
1986,75,lockstep,145,147,2985,939251825,3,0,1986,147
1988,76,lockstep,147,149,3003,939255813,3,0,1988,149
1990,77,lockstep,149,151,3001,939259809,3,0,1990,151
1992,78,lockstep,151,153,3002,939263810,3,0,1992,153
1994,79,lockstep,153,155,2987,939267833,3,0,1994,155
1996,80,lockstep,155,157,2998,939271811,3,0,1996,157
1998,81,lockstep,157,159,3000,939275824,3,0,1998,159
2000,82,lockstep,159,161,3007,939279809,3,0,2000,161
2002,83,lockstep,161,163,3002,939283813,3,0,2002,163
