sim_tick_ms,step_index,phase,cmd_seq_at_publish,cmd_seq_at_ready,exchange_wait_us,publish_wall_us,exchange_trigger,violations,ack_state_seq,ack_cmd_seq
1776,0,barrier,0,2,0,1006218738,0,0,0,0
1778,1,lockstep,2,3,994,1006218918,3,0,1778,3
1780,2,lockstep,3,4,986,1006220934,3,0,1780,4
1782,3,lockstep,4,6,2998,1006222931,3,0,1782,6
1784,4,lockstep,6,8,2987,1006226923,3,0,1784,8
1786,5,lockstep,8,10,3001,1006230920,3,0,1786,10
1788,6,lockstep,10,12,2999,1006234921,3,0,1788,12
1790,7,lockstep,12,13,1011,1006238913,3,0,1790,13
1792,8,lockstep,13,15,2996,1006240921,3,0,1792,15
1794,9,lockstep,15,16,1005,1006244917,3,0,1794,16
1796,10,lockstep,16,17,2002,1006246914,3,0,1796,17
1798,11,lockstep,18,19,2003,1006249915,3,0,1798,19
1800,12,lockstep,19,21,2994,1006252926,3,0,1800,21
1802,13,lockstep,21,22,1023,1006256910,3,0,1802,22
1804,14,lockstep,22,24,3015,1006258915,3,0,1804,24
1806,15,lockstep,24,25,1004,1006262913,3,0,1806,25
1808,16,lockstep,25,27,2999,1006264914,3,0,1808,27
1810,17,lockstep,27,29,3005,1006268917,3,0,1810,29
1812,18,lockstep,29,30,1005,1006272914,3,0,1812,30
1814,19,lockstep,30,31,1108,1006274913,3,0,1814,31
1816,20,lockstep,31,33,3016,1006276912,3,0,1816,33
1818,21,lockstep,34,35,2007,1006281921,3,0,1818,35
1820,22,lockstep,35,37,2983,1006284921,3,0,1820,37
1822,23,lockstep,37,38,996,1006288921,3,0,1822,38
1824,24,lockstep,38,40,3009,1006290918,3,0,1824,40
1826,25,lockstep,40,42,2998,1006294916,3,0,1826,42
1828,26,lockstep,42,43,1006,1006298915,3,0,1828,43
1830,27,lockstep,43,45,2993,1006300921,3,0,1830,45
1832,28,lockstep,45,46,962,1006304938,3,0,1832,46
1834,29,lockstep,46,47,1006,1006306913,3,0,1834,47
1836,30,lockstep,47,49,2999,1006308917,3,0,1836,49
1838,31,lockstep,49,50,1014,1006312919,3,0,1838,50
1840,32,lockstep,50,52,2981,1006314920,3,0,1840,52
1842,33,lockstep,52,54,2999,1006318916,3,0,1842,54
1844,34,lockstep,54,55,996,1006322925,3,0,1844,55
1846,35,lockstep,55,57,3009,1006324917,3,0,1846,57
1848,36,lockstep,57,59,3998,1006328919,3,0,1848,59
1850,37,lockstep,60,61,2989,1006333924,3,0,1850,61
1852,38,lockstep,62,63,1995,1006337921,3,0,1852,63
1854,39,lockstep,63,64,2017,1006340905,3,0,1854,64
1856,40,lockstep,64,66,2020,1006343901,3,0,1856,66
1858,41,lockstep,66,68,3001,1006346918,3,0,1858,68
1860,42,lockstep,68,69,1006,1006350915,3,0,1860,69
1862,43,lockstep,69,71,3019,1006352922,3,0,1862,71
1864,44,lockstep,71,72,979,1006356921,3,0,1864,72
1866,45,lockstep,72,73,1000,1006358920,3,0,1866,73
1868,46,lockstep,73,75,3039,1006360915,3,0,1868,75
1870,47,lockstep,75,77,3052,1006364913,3,0,1870,77
1872,48,lockstep,77,78,1034,1006368918,3,0,1872,78
1874,49,lockstep,78,80,3004,1006370922,3,0,1874,80
1876,50,lockstep,80,81,1107,1006374915,3,0,1876,81
1878,51,lockstep,81,82,1997,1006376917,3,0,1878,82
1880,52,lockstep,82,84,1991,1006379923,3,0,1880,84
1882,53,lockstep,84,86,4031,1006382908,3,0,1882,86
1884,54,lockstep,86,88,2009,1006387912,3,0,1884,88
1886,55,lockstep,88,90,2996,1006390919,3,0,1886,90
1888,56,lockstep,90,91,1028,1006394922,3,0,1888,91
1890,57,lockstep,91,93,3007,1006396915,3,0,1890,93
1892,58,lockstep,93,94,1024,1006400911,3,0,1892,94
1894,59,lockstep,94,95,988,1006402918,3,0,1894,95
1896,60,lockstep,95,97,3018,1006404921,3,0,1896,97
1898,61,lockstep,97,99,3021,1006408911,3,0,1898,99
1900,62,lockstep,99,100,1029,1006412920,3,0,1900,100
1902,63,lockstep,100,102,3022,1006414922,3,0,1902,102
1904,64,lockstep,102,103,1039,1006418925,3,0,1904,103
1906,65,lockstep,103,104,2001,1006420915,3,0,1906,104
