JointExecution state=21 applied=0 adoption=2 reason=awaiting_first_continuous_reference
JointExecutionHandover state=21.004000000000001 source=21 proposal=865 seed_vx0=1.9633116487191016 seed_vy0=0.0074848782019160121 seed_vz0=-1.1007133027973945 seed_vx1=-0.58643734892149801 seed_vy1=0.050150541718051167 seed_vz1=-0.056353318771185101 seed_vx2=-0.59369084012073081 seed_vy2=0.059959161526949856 seed_vz2=-0.10497241616056613 seed_vx3=1.9706102083434374 seed_vy3=0.017299398501195717 seed_vz3=-1.1038149272459343
JointExecution state=21.004 applied=1 execution_version=1 proposal=865 count=1 adoption=0 qp_iterations=4 elapsed_us=240.334 certificate=1 motor_envelope=1 com_error_m=9.50236e-05 foot_error_m=0.0255894 force_residual_N=3.67706e-13 moment_residual_Nm=2.25597e-13 joint_residual_Nm=3.55271e-15 priority_residual=9.11847e-13
JointExecution state=21.026 applied=1 execution_version=2 proposal=866 count=12 adoption=0 qp_iterations=6 elapsed_us=217.932 certificate=1 motor_envelope=1 com_error_m=0.00157328 foot_error_m=0.0331323 force_residual_N=9.9476e-14 moment_residual_Nm=2.4869e-14 joint_residual_Nm=1.77636e-15 priority_residual=7.88952e-14
JointExecution state=21.048 applied=1 execution_version=2 proposal=866 count=23 adoption=1 qp_iterations=4 elapsed_us=283.526 certificate=1 motor_envelope=1 com_error_m=0.00369403 foot_error_m=0.0261341 force_residual_N=9.37916e-13 moment_residual_Nm=4.61853e-14 joint_residual_Nm=1.77636e-15 priority_residual=5.81745e-13
JointExecution state=21.068 applied=1 execution_version=3 proposal=868 count=33 adoption=0 qp_iterations=4 elapsed_us=348.399 certificate=1 motor_envelope=1 com_error_m=0.00156403 foot_error_m=0.0392536 force_residual_N=1.56319e-13 moment_residual_Nm=9.05942e-14 joint_residual_Nm=4.44089e-16 priority_residual=2.13163e-13
JointExecution state=21.086 applied=1 execution_version=4 proposal=869 count=43 adoption=0 qp_iterations=4 elapsed_us=305.348 certificate=1 motor_envelope=1 com_error_m=0 foot_error_m=0.0461803 force_residual_N=9.9476e-14 moment_residual_Nm=2.39808e-14 joint_residual_Nm=2.22045e-16 priority_residual=3.66374e-14
JointExecution state=21.106 applied=1 execution_version=4 proposal=869 count=53 adoption=1 qp_iterations=4 elapsed_us=214.896 certificate=1 motor_envelope=1 com_error_m=0.000626338 foot_error_m=0.0559877 force_residual_N=1.7053e-13 moment_residual_Nm=1.97065e-14 joint_residual_Nm=0 priority_residual=1.65423e-14
JointExecution state=21.126 applied=1 execution_version=4 proposal=869 count=62 adoption=1 qp_iterations=4 elapsed_us=201.18 certificate=1 motor_envelope=1 com_error_m=0.000819678 foot_error_m=0.0513287 force_residual_N=1.19371e-12 moment_residual_Nm=2.59348e-13 joint_residual_Nm=3.55271e-15 priority_residual=7.72383e-13
JointExecution state=21.148 applied=1 execution_version=4 proposal=869 count=73 adoption=1 qp_iterations=4 elapsed_us=289.538 certificate=1 motor_envelope=1 com_error_m=0.00308107 foot_error_m=0.0542203 force_residual_N=6.53699e-13 moment_residual_Nm=2.36478e-14 joint_residual_Nm=1.77636e-15 priority_residual=2.27502e-13
JointExecution state=21.156 applied=1 execution_version=5 proposal=872 count=78 adoption=0 qp_iterations=4 elapsed_us=212.813 certificate=1 motor_envelope=1 com_error_m=0.0016693 foot_error_m=0.0589422 force_residual_N=2.98428e-13 moment_residual_Nm=2.84217e-14 joint_residual_Nm=8.88178e-16 priority_residual=3.91195e-13
JointExecution state=21.178 applied=1 execution_version=5 proposal=872 count=88 adoption=1 qp_iterations=4 elapsed_us=206.2 certificate=1 motor_envelope=1 com_error_m=0.00265214 foot_error_m=0.0640701 force_residual_N=1.84741e-13 moment_residual_Nm=5.15143e-14 joint_residual_Nm=1.77636e-15 priority_residual=1.35003e-13
JointExecution state=21.198 applied=1 execution_version=5 proposal=872 count=98 adoption=1 qp_iterations=4 elapsed_us=219.115 certificate=1 motor_envelope=1 com_error_m=0.00528436 foot_error_m=0.0723936 force_residual_N=1.84741e-13 moment_residual_Nm=1.24345e-13 joint_residual_Nm=8.88178e-16 priority_residual=3.00204e-13
JointExecution state=21.202 applied=1 execution_version=6 proposal=874 count=101 adoption=0 qp_iterations=4 elapsed_us=231.889 certificate=1 motor_envelope=1 com_error_m=0 foot_error_m=0.0712638 force_residual_N=2.20268e-13 moment_residual_Nm=4.39648e-14 joint_residual_Nm=1.77636e-15 priority_residual=1.85372e-13
JointExecution state=21.222 applied=1 execution_version=6 proposal=874 count=111 adoption=1 qp_iterations=4 elapsed_us=221.559 certificate=1 motor_envelope=1 com_error_m=0.00117403 foot_error_m=0.0740657 force_residual_N=9.9476e-14 moment_residual_Nm=3.93019e-14 joint_residual_Nm=0 priority_residual=5.61329e-13
JointExecution state=21.228 applied=1 execution_version=7 proposal=875 count=113 adoption=0 qp_iterations=4 elapsed_us=220.177 certificate=1 motor_envelope=1 com_error_m=6.21338e-05 foot_error_m=0.0746977 force_residual_N=4.08562e-14 moment_residual_Nm=1.24345e-14 joint_residual_Nm=8.88178e-16 priority_residual=3.96801e-14
JointExecution state=21.246 applied=1 execution_version=8 proposal=876 count=123 adoption=0 qp_iterations=4 elapsed_us=211.921 certificate=1 motor_envelope=1 com_error_m=0 foot_error_m=0.0718687 force_residual_N=1.13687e-13 moment_residual_Nm=3.33622e-14 joint_residual_Nm=0 priority_residual=1.56232e-14
JointExecution state=21.266 applied=1 execution_version=8 proposal=876 count=133 adoption=1 qp_iterations=4 elapsed_us=226.318 certificate=1 motor_envelope=1 com_error_m=0.00229602 foot_error_m=0.0637886 force_residual_N=1.35891e-13 moment_residual_Nm=1.54543e-13 joint_residual_Nm=4.44089e-16 priority_residual=5.39264e-13
JointExecution state=21.286 applied=1 execution_version=8 proposal=876 count=142 adoption=1 qp_iterations=4 elapsed_us=196.351 certificate=1 motor_envelope=1 com_error_m=0.00550211 foot_error_m=0.0679846 force_residual_N=2.13163e-13 moment_residual_Nm=1.49214e-13 joint_residual_Nm=8.88178e-16 priority_residual=9.70779e-13
JointExecution state=21.296 applied=1 execution_version=9 proposal=878 count=147 adoption=0 qp_iterations=4 elapsed_us=240.334 certificate=1 motor_envelope=1 com_error_m=0.00192607 foot_error_m=0.0679003 force_residual_N=1.7053e-13 moment_residual_Nm=5.68434e-14 joint_residual_Nm=1.77636e-15 priority_residual=2.58397e-13
JointExecution state=21.318 applied=1 execution_version=9 proposal=878 count=158 adoption=1 qp_iterations=9 elapsed_us=335.484 certificate=1 motor_envelope=1 com_error_m=0.00385805 foot_error_m=0.0682821 force_residual_N=1.42109e-13 moment_residual_Nm=3.90799e-13 joint_residual_Nm=2.22045e-16 priority_residual=6.23524e-13
JointExecution state=21.338 applied=1 execution_version=9 proposal=878 count=168 adoption=1 qp_iterations=6 elapsed_us=287.384 certificate=1 motor_envelope=1 com_error_m=0.00455204 foot_error_m=0.0941958 force_residual_N=9.9476e-14 moment_residual_Nm=2.66454e-14 joint_residual_Nm=4.44089e-16 priority_residual=3.31423e-13
