run,scenario,historical_verdict,settling_reaudit,observed_transitions,total_transitions,shaped_measured_p95_mps
accel_1_to_3_20260825_083849,accel_1_to_3,PASS,PASS,1,1,0.36284302055
brake_3_to_0_20260825_083947,brake_3_to_0,PASS,PASS,1,1,0.4097541833000001
ramp_20260825_084038,ramp,PASS,PASS,2,2,0.3852232449000001
steps_20260825_083650,steps,PASS,FAIL,3,5,0.3451477312500002
varying_20260825_084151,varying,PASS,FAIL,2,5,0.37899729920000025
accel_1_to_3_20260825_085323,accel_1_to_3,PASS,PASS,1,1,0.3271266651500003
accel_1_to_3_20260825_090012,accel_1_to_3,PASS,PASS,1,1,0.3633190530000001
brake_3_to_0_20260825_085419,brake_3_to_0,PASS,PASS,1,1,0.39322377659999996
brake_3_to_0_20260825_090108,brake_3_to_0,PASS,PASS,1,1,0.3872431153000003
ramp_20260825_085511,ramp,PASS,PASS,2,2,0.37489552225000006
ramp_20260825_090439,ramp,PASS,PASS,2,2,0.38231984399999996
steps_20260825_085122,steps,PASS,FAIL,3,5,0.3584956798499998
steps_20260825_085811,steps,PASS,FAIL,3,5,0.34342895634999987
varying_20260825_085625,varying,PASS,FAIL,2,5,0.3750901309999999
varying_20260825_090614,varying,PASS,FAIL,2,5,0.38249083710000015
