scenario,run,transition_s,from_mps,to_mps,offset_s,sample_t_rel_s,cycle_index,velocity_command_requested_mps,velocity_command_shaped_mps,velocity_command_applied_mps,velocity_command_measured_mps,velocity_command_accel_mps2,velocity_command_jerk_mps3,velocity_command_active,velocity_command_gait_period_s,velocity_command_gait_duty,velocity_command_gait_step_length_m,velocity_command_gait_foot_lift_m,kernel_footstep_plan_valid,kernel_velocity_error_x_mps,kernel_touchdown_target_fr_x_m,kernel_touchdown_target_fl_x_m,kernel_touchdown_target_rr_x_m,kernel_touchdown_target_rl_x_m,wbc_full_velocity_target_x_mps,wbc_full_requested_acc_x_mps2,wbc_full_srbd_acc_x_mps2,wbc_full_id_qdd_x_mps2,wbc_full_id_contact_force_x_n,wbc_full_srbd_ok,wbc_full_id_ok,wbc_shadow_solver_ok,wbc_shadow_within_budget,wbc_shadow_task_residual_norm,wbc_shadow_residual_norm,wbc_shadow_active_contacts,wbc_shadow_max_abs_tau,touchdown_event_count,touchdown_x_error_m,touchdown_y_error_m,contact_count,support_foot_count,imu_roll_rad,imu_pitch_rad,world_base_z_m
steps,steps_20260913_130149,16.0,0.0,1.0,0.0,16.000000845,114.0,1.0,1.0,1.0,1.147902738,0.8,0.0,1.0,0.14,0.44,0.159090909,0.051851852,1.0,0.1529023,0.035456653,0.034681719,0.034681719,0.035456653,0.0,-1.76233412,-1.76233412,-1.136426824,4.172369542,1.0,1.0,1.0,0.0,1.318e-06,1.318e-06,2.0,5.917683223,0.0,0.0,0.0,2.0,0.0,0.022388065,-0.005304841,0.360862158
steps,steps_20260913_130149,16.0,0.0,1.0,0.25,16.250000468,116.0,1.0,1.0,1.0,1.123855716,0.0,0.0,1.0,0.14,0.44,0.159090909,0.051851852,1.0,0.123855716,0.033797303,0.034646788,0.034646788,0.033797303,0.0,-0.954879154,-0.954879154,-1.312249928,2.469338041,1.0,1.0,1.0,0.0,1.131e-06,1.131e-06,2.0,6.686054624,0.0,0.0,0.0,1.0,0.0,-0.014667876,-0.018200878,0.362306464
steps,steps_20260913_130149,16.0,0.0,1.0,0.5,16.500033553,117.0,1.0,1.0,0.976239773,1.223760227,0.0,0.0,1.0,0.14,0.44,0.155310873,0.049752576,1.0,0.223760227,0.037771162,0.039332771,0.039332771,0.037771162,0.0,-2.352662463,-2.352662463,-2.984709234,-14.038319949,1.0,1.0,1.0,0.0,1.991e-06,1.991e-06,2.0,5.561565531,0.0,0.0,0.0,2.0,0.0,-0.001182866,-0.00516532,0.36030573
steps,steps_20260913_130149,16.0,0.0,1.0,1.0,16.999999247999998,121.0,1.0,1.0,1.0,1.151795235,0.0,0.0,1.0,0.14,0.44,0.159090909,0.051851852,1.0,0.151795235,0.032110592,0.031390898,0.031390898,0.032110592,0.0,-1.900899154,-1.900899154,-1.086955474,8.139917117,1.0,1.0,1.0,0.0,1.869e-06,1.869e-06,2.0,5.084654609,0.0,0.0,0.0,2.0,0.0,-0.019761536,-0.004049553,0.361989224
steps,steps_20260913_130149,32.0,1.0,2.0,0.0,31.999998675,228.0,1.999999834,1.999999834,1.933508929,2.26649074,0.8,0.0,1.0,0.14,0.44,0.307603693,0.14214394,1.0,0.32002736,0.069641548,0.072002644,0.072002644,0.069641548,1.933508929,-3.329818112,-1.3726308,-2.356224468,0.512800371,1.0,1.0,1.0,0.0,1.131e-06,1.131e-06,2.0,21.055585726,0.0,0.0,0.0,0.0,0.0,0.023627635,-0.01844277,0.366688072
steps,steps_20260913_130149,32.0,1.0,2.0,0.25,32.250003395,230.0,2.0,2.0,1.920208928,2.279791072,0.0,0.0,1.0,0.14,0.44,0.305487784,0.140921654,1.0,0.338916888,0.071681666,0.076427339,0.076427339,0.071681666,1.920208928,-3.595821436,-1.656603503,-1.835809069,19.376923251,1.0,1.0,1.0,0.0,1.701e-06,1.701e-06,2.0,8.296014338,0.0,0.0,0.0,2.0,0.0,0.011574955,-0.031896453,0.359428492
steps,steps_20260913_130149,32.0,1.0,2.0,0.5,32.49999785,232.0,2.0,2.0,1.929271378,2.270728622,0.0,0.0,1.0,0.14,0.44,0.306929537,0.141755234,1.0,0.340861692,0.072942489,0.075464026,0.075464026,0.072942489,1.929271378,-3.414572432,-5.532717248,-3.164204306,-15.657909932,1.0,1.0,1.0,0.0,1.436e-06,1.436e-06,2.0,23.595423651,0.0,0.0,0.0,1.0,0.0,-0.025633072,-0.031295061,0.359848511
steps,steps_20260913_130149,32.0,1.0,2.0,1.0,32.999985557,235.0,2.0,2.0,1.908733798,2.291266202,0.0,0.0,1.0,0.14,0.44,0.303662195,0.139861759,1.0,0.413572584,0.078918666,0.076862374,0.076862374,0.078918666,1.908733798,-3.825324036,-4.122737282,-3.05796806,-20.856277417,1.0,1.0,1.0,0.0,1.362e-06,1.362e-06,2.0,6.402541371,0.0,0.0,0.0,2.0,0.0,-0.002820986,-0.013140051,0.356653492
steps,steps_20260913_130149,48.0,2.0,3.0,0.0,48.000005556,342.0,3.0,3.0,2.766857143,3.355643331,0.8,0.0,1.0,0.14,0.44,0.440181818,0.196564036,1.0,0.588786188,0.110770946,0.111822108,0.111822108,0.110770946,2.766857143,-4.0,-3.719505657,-2.341036477,25.183938912,1.0,1.0,1.0,0.0,2.595e-06,2.595e-06,2.0,8.387252067,0.0,0.0,0.0,2.0,0.0,-0.00087067,0.001185675,0.356084248
steps,steps_20260913_130149,48.0,2.0,3.0,0.25,48.2500032,344.0,3.0,3.0,2.782857143,3.306867345,0.0,0.0,1.0,0.14,0.44,0.442727273,0.19700828,1.0,0.532010202,0.110471159,0.109297817,0.109297817,0.110471159,2.782857143,-4.0,-5.025578323,-2.538308156,0.383968424,1.0,1.0,1.0,0.0,1.894e-06,1.894e-06,2.0,23.21384921,0.0,0.0,0.0,1.0,0.0,-0.030834664,0.038062595,0.349647228
