scope,scenario,run,platform_target_mps,steady_window_start_s,steady_window_end_s,sample_count,requested_median_mps,shaped_median_mps,applied_median_mps,measured_median_mps,measured_p05_mps,measured_p95_mps,planner_semantic_speed_median_mps,stance_kinematic_speed_median_mps,measured_minus_applied_median_mps,measured_minus_planner_semantic_median_mps,measured_minus_stance_kinematic_median_mps,abs_error_planner_median_mps,abs_error_stance_median_mps,planner_closer_fraction,stance_closer_fraction,mean_abs_error_planner_mps,mean_abs_error_stance_mps
run,steps,steps_20260913_130149,1.0,20.0,24.0,2000,1.0,1.0,1.0,1.1912360815,1.13381463955,1.22690362445,0.9999999994285714,1.1363636357142857,0.19123608149999993,0.1912360820714285,0.05487244578571426,0.1912360820714285,0.05487244578571426,0.0,1.0,0.19117332050507146,0.05648829916964292
run,steps,steps_20260913_130149,2.0,36.0,40.0,2000,2.0,2.0,1.9021441239999999,2.297855876,2.2665388355,2.3298994737500003,1.902144121428571,2.1615274107142852,0.3957117520000001,0.39571175457142893,0.13632846528571463,0.39571175457142893,0.13632846528571463,0.0,1.0,0.39687441915750016,0.1375704022785002
run,steps,steps_20260913_130149,3.0,52.0,56.0,2000,3.0,3.0,2.5,3.0491034635,2.9334695314999997,3.1014049206,2.5000000017142856,2.8409090928571423,0.5166426094999998,0.5166426077857142,0.16970081821428606,0.5166426077857142,0.16970081821428606,0.0,1.0,0.5133520342173573,0.16897167046192899
run,steps,steps_20260913_130415,1.0,20.0,24.0,2000,1.0,1.0,1.0,1.1942820495,1.1333317143000001,1.21552430765,0.9999999994285714,1.1363636357142857,0.19428204949999994,0.1942820500714285,0.05791841378571427,0.1942820500714285,0.05791841378571427,0.0,1.0,0.18821711350421433,0.05369865248807149
run,steps,steps_20260913_130415,2.0,36.0,40.0,2000,2.0,2.0,1.907642988,2.292357012,2.2521166245,2.3424725834499998,1.9076429868571427,2.167776121428571,0.3847140240000001,0.38471402514285724,0.12458089057142874,0.38471402514285724,0.12458089057142874,0.0,1.0,0.389027544572143,0.12920295559814307
run,steps,steps_20260913_130415,3.0,52.0,56.0,2000,3.0,3.0,2.5,2.99187615,2.90269055335,3.0664548041,2.5000000017142856,2.8409090928571423,0.4848226070000001,0.4848226052857145,0.1433390951428577,0.4848226052857145,0.1433390951428577,0.0,1.0,0.4842471935302144,0.14253628425735757
run,steps,steps_20260913_130640,1.0,20.0,24.0,1999,1.0,1.0,1.0,1.190277151,1.1201093566,1.2261211473,0.9999999994285714,1.1363636357142857,0.1902771510000001,0.19027715157142866,0.05391351528571442,0.19027715157142866,0.05391351528571442,0.0,1.0,0.18967986585685703,0.05684063694211398
run,steps,steps_20260913_130640,2.0,36.0,40.0,2000,2.0,2.0,1.8997209645,2.3002790355,2.2736552574499997,2.3241830667,1.8997209628571428,2.1587738214285714,0.40055807100000007,0.40055807264285714,0.14150521407142858,0.40055807264285714,0.14150521407142858,0.0,1.0,0.39971125275042874,0.14060065634571448
run,steps,steps_20260913_130640,3.0,52.0,56.0,2001,3.0,3.0,2.572,3.08251185,2.966425016,3.184635238,2.5719999988571427,2.922727271428571,0.5048649689999998,0.5048649684285715,0.15106012800000013,0.5048649684285715,0.15106012800000013,0.0,1.0,0.4998943051015209,0.148457205424074
run,varying,varying_20260913_130859,0.6,4.0,8.0,2000,0.6,0.6,0.6,0.5655931435,0.5393709344000001,0.62184944435,0.5999999971428571,0.6818181785714286,-0.03440685649999997,-0.034406853642857116,-0.11622503507142856,0.03522092714285713,0.11622503507142856,0.993,0.007,0.03535961056571427,0.11307367254142857
run,varying,varying_20260913_130859,1.4,20.0,24.0,2000,1.4,1.4,1.368629232,1.631370768,1.6166171870500001,1.6491620168499999,1.3686292305714285,1.5552604892857143,0.26274153600000005,0.26274153742857165,0.07611027871428588,0.26274153742857165,0.07611027871428588,0.0,1.0,0.26361963087585727,0.07709829488071443
run,varying,varying_20260913_130859,2.3,36.0,40.0,2000,2.3,2.3,2.1611893159999997,2.638810684,2.58779561465,2.6947078484499998,2.1611893159999997,2.4558969499999996,0.4776213679999999,0.4776213680000001,0.18291373400000022,0.4776213680000001,0.18291373400000022,0.0,1.0,0.4777541455797859,0.1833981637353574
run,varying,varying_20260913_130859,2.8,52.0,56.0,2000,2.8,2.8,2.518857143,3.044813292,2.99173147245,3.1122176544,2.5188571445714283,2.862337664285714,0.528104619,0.5281046173571431,0.18423235964285767,0.5281046173571431,0.18423235964285767,0.0,1.0,0.5318359496217859,0.18870342998164313
run,varying,varying_20260913_131059,0.6,4.0,8.0,2000,0.6,0.6,0.6,0.5646142645000001,0.54124003545,0.5886627217,0.5999999971428571,0.6818181785714286,-0.03538573549999996,-0.035385732642857104,-0.11720391407142855,0.035385732642857104,0.11720391407142855,1.0,0.0,0.035321919357857126,0.11714010078642857
