scenario,run,transition_s,transition_endpoint_s,from_mps,to_mps,offset_s,row_t_rel_s,alignment_abs_error_s,t_rel_s,cmd_time_s,cycle_index,requested_mps,shaped_mps,applied_mps,measured_mps,period_s,duty,schedule_step_m,foot_lift_m,planner_semantic_speed_mps,stance_kinematic_speed_mps,measured_minus_applied_mps,measured_minus_planner_semantic_mps,measured_minus_stance_kinematic_mps,shaped_minus_applied_mps,measured_minus_shaped_mps,tracking_lead_mps,overspeed_mps,kernel_velocity_error_mps,touchdown_target_fr_m,touchdown_target_fl_m,touchdown_target_rr_m,touchdown_target_rl_m,kernel_footstep_plan_valid,wbc_full_velocity_target_mps,wbc_full_requested_acc_mps2,wbc_full_srbd_acc_mps2,wbc_full_id_contact_force_n,wbc_full_srbd_ok,wbc_full_id_ok,wbc_shadow_solver_ok
steps,steps_20260913_130149,8.0,16.0,0.0,1.0,0.0,8.000005749,5.74899999961076e-06,8.000005749,12.300078308,57.0,7.19e-07,7.19e-07,7.19e-07,0.017620905,0.14,0.44,1.14e-07,0.0,7.165714285714285e-07,8.142857142857142e-07,0.017620186,0.017620188428571427,0.017620090714285712,0.0,0.017620186,0.2,0.017620186,0.017620905,0.000377617,-0.000951128,-0.000951128,0.000377617,1.0,0.0,4.702270798,4.702270798,23.16255494,1.0,1.0,1.0
steps,steps_20260913_130149,8.0,16.0,0.0,1.0,0.25,8.249997356,2.6440000002736497e-06,8.249997356,12.550069915,58.0,0.031249669,0.031249669,0.031249669,-0.061645097,0.14,0.44,0.004971538,6.4651e-05,0.031249667428571427,0.03551098571428571,-0.092894766,-0.09289476442857143,-0.09715608271428572,0.0,-0.092894766,0.2,-0.092894766,-0.076645207,-0.002118047,-0.003808155,-0.003808155,-0.002118047,1.0,0.0,1.758278541,1.758278541,17.617516289,1.0,1.0,1.0
steps,steps_20260913_130149,8.0,16.0,0.0,1.0,0.5,8.499999468,5.319999996089564e-07,8.499999468,12.800072027,60.0,0.062499933,0.062499933,0.062499933,-0.00651922,0.14,0.44,0.009943171,0.000256799,0.062499932,0.07102264999999999,-0.069019153,-0.069019152,-0.07754187,0.0,-0.069019153,0.2,-0.069019153,-0.056519994,-0.002087612,-0.002480248,-0.002480248,-0.002087612,1.0,0.0,2.198687892,2.198687892,11.854135319,1.0,1.0,1.0
steps,steps_20260913_130149,8.0,16.0,0.0,1.0,1.0,9.000007076,7.075999999273108e-06,9.000007076,13.300079635,64.0,0.125000885,0.125000885,0.125000885,0.030821728,0.14,0.44,0.019886504,0.001012746,0.12500088228571427,0.14204645714285713,-0.09417915700000001,-0.09417915428571427,-0.11122472914285714,0.0,-0.09417915700000001,0.2,-0.09417915700000001,-0.089178876,-0.004363715,-0.003248135,-0.003248135,-0.004363715,1.0,0.0,2.148038799,2.148038799,8.747693516,1.0,1.0,1.0
steps,steps_20260913_130149,24.0,32.0,1.0,2.0,0.0,24.000003244,3.243999998403524e-06,24.000003244,28.300075803,171.0,1.000000406,1.000000406,1.000000406,1.137976729,0.14,0.44,0.159090974,0.051851888,1.0000004079999998,1.1363640999999998,0.13797632299999996,0.13797632100000023,0.0016126290000002541,0.0,0.13797632299999996,0.2,0.13797632299999996,0.137976729,0.033718284,0.037027835,0.037027835,0.033718284,1.0,0.0,-2.232417248,-2.232417248,4.339339415,1.0,1.0,1.0
steps,steps_20260913_130149,24.0,32.0,1.0,2.0,0.25,24.24999966,3.399999997100167e-07,24.24999966,28.550072219,173.0,1.031249958,1.031249958,1.031249958,1.20490538,0.14,0.44,0.164062493,0.054650875,1.031249956,1.1718749499999999,0.17365542199999995,0.1736554240000001,0.033030430000000166,0.0,0.17365542199999995,0.2,0.17365542199999995,0.177404808,0.037055263,0.037167454,0.037167454,0.037055263,1.0,0.0,-3.325975033,-3.325975033,-3.929258815,1.0,1.0,1.0
steps,steps_20260913_130149,24.0,32.0,1.0,2.0,0.5,24.500034169,3.416899999919565e-05,24.500034169,28.800106728,175.0,1.062504271,1.062504271,1.062504271,1.159264442,0.14,0.44,0.16903477,0.057490987,1.0625042685714285,1.2073912142857142,0.09676017100000012,0.09676017342857146,-0.04812677228571416,0.0,0.09676017100000012,0.2,0.09676017100000012,0.096760171,0.033818792,0.036706629,0.036706629,0.033818792,1.0,0.0,-0.491447924,-0.491447924,1.722357439,1.0,1.0,1.0
steps,steps_20260913_130149,24.0,32.0,1.0,2.0,1.0,25.000005708,5.707999999771118e-06,25.000005708,29.300078267,178.0,1.125000714,1.125000714,1.067815407,1.38218602,0.14,0.44,0.169879724,0.057977466,1.067815408,1.2134266,0.3143706129999999,0.31437061200000005,0.16875942,0.05718530699999991,0.257185306,0.2,0.257185306,0.330579836,0.04964335,0.049929346,0.049929346,0.04964335,1.0,0.0,-3.003894726,-3.003894726,-18.701332175,1.0,1.0,1.0
steps,steps_20260913_130149,40.0,48.0,2.0,3.0,0.0,40.000002019,2.019000000075266e-06,40.000002019,44.300074578,285.0,2.000000252,2.000000252,1.903225595,2.296774909,0.14,0.44,0.30278589,0.139351288,1.9032255942857141,2.162756357142857,0.3935493139999997,0.39354931471428567,0.13401855185714284,0.09677465699999988,0.29677465699999983,0.2,0.29677465699999983,0.379288578,0.074360621,0.074776008,0.074776008,0.074360621,1.0,1.903225595,-3.935493139,-4.162360606,-21.025422204,1.0,1.0,1.0
steps,steps_20260913_130149,40.0,48.0,2.0,3.0,0.25,40.250010911,1.09109999968382e-05,40.250010911,44.55008347,287.0,2.031251364,2.031251364,1.941218309,2.321284419,0.14,0.44,0.308830186,0.142849334,1.941218312,2.2059298999999997,0.38006611,0.380066107,0.11535451900000027,0.09003305500000014,0.2900330549999999,0.2,0.2900330549999999,0.361458327,0.07266086,0.074865117,0.074865117,0.07266086,1.0,1.941218309,-3.800661097,-3.044925929,-30.571182696,1.0,1.0,1.0
steps,steps_20260913_130149,40.0,48.0,2.0,3.0,0.5,40.499999428,5.719999975895007e-07,40.499999428,44.800071987,289.0,2.062499928,2.062499928,1.971691934,2.353307923,0.14,0.44,0.313678262,0.145614404,1.9716919325714282,2.240559014285714,0.38161598899999993,0.38161599042857186,0.11274890871428589,0.09080799399999973,0.2908079950000002,0.2,0.2908079950000002,0.371873584,0.075085697,0.076290037,0.076290037,0.075085697,1.0,1.971691934,-3.816159889,-1.574044729,0.272581762,1.0,1.0,1.0
steps,steps_20260913_130149,40.0,48.0,2.0,3.0,1.0,41.000003545,3.54499999843938e-06,41.000003545,45.300076104,292.0,2.125000443,2.125000443,2.018636978,2.431363908,0.14,0.44,0.321146792,0.149796954,2.0186369782857145,2.293905657142857,0.4127269299999998,0.41272692971428526,0.1374582508571427,0.10636346499999982,0.306363465,0.2,0.306363465,0.418275845,0.078809879,0.079261358,0.079261358,0.078809879,1.0,2.018636978,-4.0,-2.609812714,12.010466892,1.0,1.0,1.0
steps,steps_20260913_130415,8.0,16.0,0.0,1.0,0.0,7.999981061,1.8939000000273154e-05,7.999981061,12.300057914,57.0,0.0,0.0,0.0,0.056805372,0.14,0.44,0.0,0.0,0.0,0.0,0.056805372,0.056805372,0.056805372,0.0,0.056805372,0.2,0.056805372,0.056805372,0.003005854,0.000177718,0.000177718,0.003005854,1.0,0.0,4.985592905,4.985592905,27.471759581,1.0,1.0,1.0
steps,steps_20260913_130415,8.0,16.0,0.0,1.0,0.25,8.249999984,1.5999999547489097e-08,8.249999984,12.550076837,58.0,0.031249998,0.031249998,0.031249998,-0.091397409,0.14,0.44,0.004971591,6.4652e-05,0.03125000057142857,0.03551136428571428,-0.122647407,-0.12264740957142857,-0.1269087732857143,0.0,-0.122647407,0.2,-0.122647407,-0.106646652,-0.000607721,-0.004630336,-0.004630336,-0.000607721,1.0,0.0,2.701257624,2.701257624,21.676472498,1.0,1.0,1.0
steps,steps_20260913_130415,8.0,16.0,0.0,1.0,0.5,8.500020911,2.0911000000012336e-05,8.500020911,12.800097764,60.0,0.062502614,0.062502614,0.062502614,0.003698135,0.14,0.44,0.009943598,0.000256821,0.062502616,0.0710257,-0.058804479,-0.058804481,-0.06732756499999999,0.0,-0.058804479,0.2,-0.058804479,-0.046552084,-0.001781766,-0.001755729,-0.001755729,-0.001781766,1.0,0.0,1.625674514,1.625674514,11.717765293,1.0,1.0,1.0
steps,steps_20260913_130415,8.0,16.0,0.0,1.0,1.0,9.000010116,1.0116000000337522e-05,9.000010116,13.300086969,64.0,0.125001264,0.125001264,0.125001264,0.033478544,0.14,0.44,0.019886565,0.001012752,0.1250012657142857,0.14204689285714284,-0.09152272,-0.09152272171428569,-0.10856834885714284,0.0,-0.09152272,0.2,-0.09152272,-0.086770841,-0.003936621,-0.002757993,-0.002757993,-0.003936621,1.0,0.0,2.067218907,2.067218907,8.851588893,1.0,1.0,1.0
steps,steps_20260913_130415,24.0,32.0,1.0,2.0,0.0,24.000002643,2.6429999984145525e-06,24.000002643,28.300079496,171.0,1.00000033,1.00000033,1.00000033,1.166195753,0.14,0.44,0.159090962,0.051851881,1.0000003325714286,1.136364014285714,0.166195423,0.16619542042857138,0.029831738714285905,0.0,0.166195423,0.2,0.166195423,0.166195753,0.035548176,0.036785074,0.036785074,0.035548176,1.0,0.0,-2.236892735,-2.236892735,5.643007633,1.0,1.0,1.0
steps,steps_20260913_130415,24.0,32.0,1.0,2.0,0.25,24.249994816,5.183999999047728e-06,24.249994816,28.550071669,173.0,1.031249352,1.031249352,1.031249352,1.217828879,0.14,0.44,0.164062397,0.05465082,1.0312493525714284,1.171874264285714,0.18657952700000013,0.18657952642857167,0.04595461471428597,0.0,0.18657952700000013,0.2,0.18657952700000013,0.190080886,0.038663648,0.038593643,0.038593643,0.038663648,1.0,0.0,-2.815642868,-2.815642868,-1.169415525,1.0,1.0,1.0
steps,steps_20260913_130415,24.0,32.0,1.0,2.0,0.5,24.499998538,1.4620000001741573e-06,24.499998538,28.800075391,174.0,1.062499817,1.062499817,1.062499817,1.250163025,0.14,0.44,0.169034062,0.057490579,1.0624998182857144,1.207386157142857,0.18766320800000003,0.1876632067142856,0.042776867857142964,0.0,0.18766320800000003,0.2,0.18766320800000003,0.204912807,0.038805516,0.039057545,0.039057545,0.038805516,1.0,0.0,0.0,0.0,1.234752791,1.0,1.0,1.0
steps,steps_20260913_130415,24.0,32.0,1.0,2.0,1.0,24.999997471,2.528999999640291e-06,24.999997471,29.300074324,178.0,1.124999684,1.124999684,1.067800455,1.382198913,0.14,0.44,0.169877345,0.057976095,1.0678004542857142,1.213409607142857,0.3143984580000001,0.31439845871428584,0.16878930585714302,0.057199229000000074,0.25719922900000003,0.2,0.25719922900000003,0.295506728,0.045659274,0.04831401,0.04831401,0.045659274,1.0,0.0,-3.455264484,-3.455264484,-16.452882033,1.0,1.0,1.0
steps,steps_20260913_130415,40.0,48.0,2.0,3.0,0.0,40.000127465,0.00012746499999849448,40.000127465,44.300204318,285.0,2.000015933,2.000015933,1.920710889,2.279320978,0.14,0.44,0.305567641,0.140967906,1.920710886285714,2.182626007142857,0.3586100889999999,0.3586100917142858,0.09669497085714296,0.07930504399999982,0.2793050450000001,0.2,0.2793050450000001,0.396115117,0.078287268,0.07720307,0.07720307,0.078287268,1.0,1.920710889,-3.586100889,-4.07379838,9.285061694,1.0,1.0,1.0
steps,steps_20260913_130415,40.0,48.0,2.0,3.0,0.25,40.250144262,0.00014426199999917344,40.250144262,44.550221115,287.0,2.031268033,2.031268033,1.94838976,2.314146305,0.14,0.44,0.309971098,0.143503416,1.9483897588571428,2.214079271428571,0.365756545,0.36575654614285713,0.10006703357142888,0.08287827299999995,0.28287827200000004,0.2,0.28287827200000004,0.37520745,0.07505553,0.070155759,0.070155759,0.07505553,1.0,1.94838976,-3.657565448,-2.772616469,-29.736984848,1.0,1.0,1.0
steps,steps_20260913_130415,40.0,48.0,2.0,3.0,0.5,40.500123164,0.00012316400000145222,40.500123164,44.800200017,289.0,2.062515396,2.062515396,1.930980727,2.394050064,0.14,0.44,0.307201479,0.141912113,1.930980725142857,2.194296278571428,0.4630693370000001,0.46306933885714296,0.1997537854285718,0.13153466899999988,0.3315346680000002,0.2,0.3315346680000002,0.455009374,0.079943865,0.075833176,0.075833176,0.079943865,1.0,1.930980727,-4.0,-3.111378152,-9.799161217,1.0,1.0,1.0
steps,steps_20260913_130415,40.0,48.0,2.0,3.0,1.0,41.000122907,0.00012290699999795152,41.000122907,45.30019976,292.0,2.125015363,2.125015363,2.009527691,2.440503036,0.14,0.44,0.319697587,0.148993024,2.0095276897142855,2.283554192857143,0.4309753449999998,0.43097534628571443,0.15694884314285718,0.11548767199999999,0.3154876729999998,0.2,0.3154876729999998,0.387630586,0.074255089,0.077658555,0.077658555,0.074255089,1.0,2.009527691,-4.0,-1.779084662,18.770869834,1.0,1.0,1.0
steps,steps_20260913_130640,8.0,16.0,0.0,1.0,0.0,7.999999325999999,6.74000000699948e-07,7.999999325999999,12.300074006,57.0,0.0,0.0,0.0,-0.062402811,0.14,0.44,0.0,0.0,0.0,0.0,-0.062402811,-0.062402811,-0.062402811,0.0,-0.062402811,0.2,-0.062402811,-0.062402811,-0.004910668,-0.004821703,-0.004821703,-0.004910668,1.0,0.0,4.469884897,4.469884897,29.98291968,1.0,1.0,1.0
