scenario,run,transition_s,transition_endpoint_s,from_mps,to_mps,window_end_s,tracking_lead_mps,event_definition,measured_gt_shaped_time_s,measured_gt_shaped_delta_s,measured_gt_shaped_value_mps,measured_gt_shaped_plus_lead_time_s,measured_gt_shaped_plus_lead_delta_s,measured_gt_shaped_plus_lead_value_mps,applied_lt_shaped_time_s,applied_lt_shaped_delta_s,applied_lt_shaped_value_mps,overspeed_braking_branch_time_s,overspeed_braking_branch_delta_s,overspeed_braking_branch_value_mps,gap_005_time_s,gap_005_delta_s,gap_01_time_s,gap_01_delta_s,gap_02_time_s,gap_02_delta_s,applied_minus_overspeed_s,overspeed_precedes_applied_reduction
steps,steps_20260913_130149,8.0,16.0,0.0,1.0,24.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,8.000005749,5.74899999961076e-06,0.017620905,16.405992904,8.405992904000001,1.201113901,16.405992904,8.405992904000001,1.201113901,16.405992904,8.405992904000001,1.201113901,16.600003816,8.600003816000001,,,,,0.0,True
steps,steps_20260913_130149,24.0,32.0,1.0,2.0,40.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,24.000003244,3.243999998403524e-06,1.137976729,24.840000707999998,0.840000707999998,1.305687661,24.840000707999998,0.840000707999998,1.305687661,24.840000707999998,0.840000707999998,1.305687661,24.896001414,0.8960014140000006,30.974003556,6.9740035559999995,,,0.0,True
steps,steps_20260913_130149,40.0,48.0,2.0,3.0,56.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,40.000002019,2.019000000075266e-06,2.296774909,40.000002019,2.019000000075266e-06,2.296774909,40.000002019,2.019000000075266e-06,2.296774909,40.000002019,2.019000000075266e-06,2.296774909,40.000002019,2.019000000075266e-06,40.010000346,0.010000345999998217,44.378002584,4.378002584000001,0.0,True
steps,steps_20260913_130415,8.0,16.0,0.0,1.0,24.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,8.001992858,0.0019928579999994867,0.058051728,16.412006068,8.412006068,1.200793696,16.412006068,8.412006068,1.200793696,16.412006068,8.412006068,1.200793696,16.554002059,8.554002058999998,,,,,0.0,True
steps,steps_20260913_130415,24.0,32.0,1.0,2.0,40.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,24.000002643,2.6429999984145525e-06,1.166195753,24.818002451999998,0.8180024519999982,1.303284287,24.818002451999998,0.8180024519999982,1.303284287,24.818002451999998,0.8180024519999982,1.303284287,24.944001909,0.9440019090000007,29.850130684,5.850130684,,,0.0,True
steps,steps_20260913_130415,40.0,48.0,2.0,3.0,56.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,40.000127465,0.00012746499999849448,2.279320978,40.000127465,0.00012746499999849448,2.279320978,40.000127465,0.00012746499999849448,2.279320978,40.000127465,0.00012746499999849448,2.279320978,40.000127465,0.00012746499999849448,40.206124049,0.20612404900000314,42.144157705,2.144157704999998,0.0,True
steps,steps_20260913_130640,8.0,16.0,0.0,1.0,24.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,13.932002151,5.932002151000001,0.742062895,16.556014333,8.556014333,1.200607091,16.556014333,8.556014333,1.200607091,16.556014333,8.556014333,1.200607091,17.184006026,9.184006025999999,,,,,0.0,True
steps,steps_20260913_130640,24.0,32.0,1.0,2.0,40.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,24.000001488000002,1.488000002325407e-06,1.141133372,24.877999058999997,0.8779990589999969,1.310280435,24.877999058999997,0.8779990589999969,1.310280435,24.877999058999997,0.8779990589999969,1.310280435,25.516004633,1.5160046330000014,31.909995396999996,7.909995396999996,,,0.0,True
steps,steps_20260913_130640,40.0,48.0,2.0,3.0,56.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,40.000005175,5.174999998303065e-06,2.293614295,40.000005175,5.174999998303065e-06,2.293614295,40.000005175,5.174999998303065e-06,2.293614295,40.000005175,5.174999998303065e-06,2.293614295,40.000005175,5.174999998303065e-06,40.194024741,0.19402474099999978,45.521997180999996,5.521997180999996,0.0,True
varying,varying_20260913_130859,8.0,16.0,0.6,1.4,24.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,9.403995943000002,1.4039959430000017,0.741335021,12.856024246,4.8560242460000005,1.287958317,12.856024246,4.8560242460000005,1.287958317,12.856024246,4.8560242460000005,1.287958317,12.898002615000003,4.898002615000003,,,,,0.0,True
varying,varying_20260913_130859,24.0,32.0,1.4,2.3,40.0,0.2,first active continuous-trot row at or after transition; strict inequalities; overspeed branch reconstructed from exact source condition,24.000001773,1.773000001037417e-06,1.64775644,24.000001773,1.773000001037417e-06,1.64775644,24.000001773,1.773000001037417e-06,1.64775644,24.000001773,1.773000001037417e-06,1.64775644,25.091995528,1.0919955280000018,29.001999904,5.001999904000002,37.058006144000004,13.058006144000004,0.0,True
