step,leg,target_swing_x_m,target_swing_y_m,target_body_advance_x_m,target_body_advance_y_m,actual_swing_x_m,actual_swing_y_m,body_displacement_x_m,body_displacement_y_m,swing_clearance_mean_mm,swing_clearance_max_mm,swing_force_mean,swing_force_max,swing_zero_force_fraction,landing_force_mean,max_abs_roll_deg,max_abs_pitch_deg,max_support_drift_mm,max_abs_q_error_rad,max_abs_tau_est
1,FR,0.06,0.0,0.024999999999999998,0.0,0.051160315579365095,0.0019781452222222273,0.005847104333333342,0.007219945587301587,19.3584648018018,19.573332999999998,0.0,0.0,1.0,2.5,1.1408765983408093,1.1857525436161793,10.580271533717692,0.108014107,10.902997017
2,RL,0.06,0.0,0.027771892999999995,-0.005733831000000001,0.05011754600000001,-0.014587163801587255,0.03825718351587301,-0.01304348480952381,24.616131444000004,24.856852,0.0,0.0,1.0,3.8366533864541834,1.1682824874848456,0.8143690357426141,8.211174850192354,0.0712533,6.918428898
3,FL,0.06,0.0,0.016717358000000036,0.005739538000000001,0.0458887609206349,-0.0028754419841269807,0.008331887698412692,0.0026536589365079364,17.063856819999998,17.463623000000002,0.0,0.0,1.0,3.416,1.4722911433838437,0.556035658538973,7.541714739289264,0.095550776,9.542881012
4,RR,0.06,0.0,0.03159605299999994,0.002510347,0.05518334017460316,0.007007412333333324,0.040515946849206355,0.007026444793650794,22.290083212,22.379770999999998,0.0,0.0,1.0,4.368,1.3388537992644565,0.8689735751961873,6.006671084586005,0.075855374,7.538324356
5,FR,0.06,0.0,0.017926238000000053,-0.003505488,0.05765285176190471,0.0005861160158730228,0.008405445507936524,-0.0003469020793650797,26.211745756,26.449469999999998,0.0,0.0,1.0,3.172,0.8025559065141659,0.9227603892845501,9.52970200533074,0.091332078,9.142626762
6,RL,0.06,0.0,0.03255090899999996,-0.002575997000000001,0.059630037746031705,-0.0032691126904761114,0.04576289926190476,-0.004147033277777778,29.305444017,29.664934,0.0,0.0,1.0,4.039840637450199,0.7012476864187551,0.8526737853614081,7.509627588286899,0.071981668,7.121116161
7,FL,0.06,0.0,0.014553540000000087,0.0011582239999999994,0.05514738391269844,-0.0068529194761905166,0.006607579309523812,-0.0029781011587301583,19.182546673999997,19.62692,0.0,0.0,1.0,3.545816733067729,1.595905699063508,0.7850549679576743,9.855763967473026,0.078378439,7.838186264
8,RR,0.06,0.0,0.04123129899999997,0.0033596220000000013,0.073643841984127,0.006254938515872999,0.06179082033333334,0.008973171634920635,24.709919141,25.045403,0.0,0.0,1.0,4.677290836653387,1.714546007053185,1.2099918096180864,1.8031701491247203,0.070187271,7.02312994
9,FR,0.06,0.0,-0.0014221490000000392,-0.004485188,0.06919660119047621,0.00023754269047621124,-0.017850494190476213,-0.0031351143492063488,28.055624364,28.140793000000002,0.0,0.0,1.0,2.6653386454183265,0.9553478222488516,1.493025569257156,13.608616196938662,0.102976561,10.379900932
10,RL,0.06,0.0,0.028117703000000105,-0.0010535639999999999,0.060617551063492085,-0.0029734959126984095,0.038983050198412694,-0.0025469489841269846,29.40940413,29.7546,0.0,0.0,1.0,3.956175298804781,0.7284967570142639,1.0518830747277046,5.227372196480337,0.0651142,6.514022827
