step,leg,target_swing_x_m,target_swing_y_m,target_body_advance_x_m,target_body_advance_y_m,actual_swing_x_m,actual_swing_y_m,body_displacement_x_m,body_displacement_y_m,swing_clearance_mean_mm,swing_clearance_max_mm,swing_force_mean,swing_force_max,swing_zero_force_fraction,landing_force_mean,max_abs_roll_deg,max_abs_pitch_deg,max_support_drift_mm,max_abs_q_error_rad,max_abs_tau_est
1,FR,0.06,0.0,0.024999999999999998,0.0,0.051159480674603186,0.001980144285714275,0.005841790023809537,0.007220780333333332,19.359672,19.575325,0.0,0.0,1.0,2.504,1.1409322898384961,1.185799411563821,10.580073061514504,0.107966423,10.898751259
2,RL,0.06,0.0,0.02773181499999999,-0.005740607,0.05010794359523818,-0.01457385488095242,0.03820254731746032,-0.013048951793650792,24.611457443,24.852941,0.0,0.0,1.0,4.055776892430279,1.1686329657681271,0.8143614154039388,8.214022717923823,0.07138586,6.918130875
3,FL,0.06,0.0,0.01672839699999995,0.00573909,0.04588744334126987,-0.002868679523809453,0.008344533000000003,0.002655024206349206,17.065447518,17.465427,0.0,0.0,1.0,3.428,1.4714367487197444,0.5566111373484023,7.542740023539333,0.095588207,9.54536438
4,RR,0.06,0.0,0.03159550400000005,0.0025086539999999995,0.055167885904761904,0.007011906095237996,0.04050912804761906,0.0070281265555555555,22.273493462,22.365495,0.0,0.0,1.0,4.392,1.3404054262694503,0.8707884190122642,6.0074010116924335,0.07590723,7.540523529
5,FR,0.06,0.0,0.017930451999999944,-0.003507689999999999,0.0576518408968254,0.0005850318015873102,0.008409575896825387,-0.0003493198730158734,26.21216794,26.450176,0.0,0.0,1.0,3.176,0.80283075436849,0.9232907763155025,9.528323160975102,0.091348767,9.144082069
6,RL,0.06,0.0,0.03255044300000014,-0.002576256000000001,0.05962264296031748,-0.003270829333333336,0.045761530333333314,-0.00414810769047619,29.305156034,29.66419,0.0,0.0,1.0,4.051792828685259,0.7011832286668028,0.8523977342957142,7.50946095303502,0.072008431,7.119274616
7,FL,0.06,0.0,0.014554772999999993,0.0011590430000000007,0.055142280436507984,-0.006849791595238047,0.006609377293650812,-0.0029760361190476186,19.185841621,19.630198,0.0,0.0,1.0,3.7250996015936253,1.5951375345475762,0.7846728624041016,9.85274753581921,0.078375578,7.837915421
8,RR,0.06,0.0,0.041230384999999925,0.0033580190000000003,0.0736312778174603,0.006256262388888906,0.06177885074603173,0.008972052555555556,24.705674895999998,25.042984,0.0,0.0,1.0,4.705179282868526,1.7156363457373192,1.2092474228506525,1.8034050444332175,0.070157707,7.020169735
9,FR,0.06,0.0,-0.0014131850000000945,-0.004485532999999999,0.06918141859523819,0.00023892669047617665,-0.017840904476190467,-0.0031340862777777785,28.050923103,28.138455999999998,0.0,0.0,1.0,2.800796812749004,0.9551609807118596,1.493102173714365,13.601181199174922,0.102984786,10.383649826
10,RL,0.06,0.0,0.028118492000000078,-0.0010545560000000034,0.06060575856349206,-0.0029655578253968418,0.03898057792857143,-0.002546295531746032,29.409877967,29.754629,0.0,0.0,1.0,4.159362549800797,0.7282803508550431,1.0514908851169376,5.2261956580119096,0.065117538,6.514573097
11,FL,0.06,0.0,0.006380485000000102,0.0011065190000000016,0.05927844030158741,-0.005043221626984118,-0.003117081119047599,-0.0023170335952380954,20.286891122,20.664555,0.0,0.0,1.0,3.812749003984064,1.2997935474970028,1.2201481740861344,11.710300864754474,0.0823946,8.161138535
12,RR,0.06,0.0,0.02252648499999979,0.0027991770000000008,0.07092744912158731,0.0055006152635555805,0.034806534896825364,0.007451905333333333,22.584050296,22.848675999999998,0.0,0.0,1.0,4.736,1.9862204773333294,1.0766500921547066,2.0566859721754858,0.064904571,6.494823456
13,FR,0.06,0.0,0.005202510000000271,-0.003723476000000001,0.06733053802380962,0.0015406852142857141,-0.008304956007936487,-0.001888365015873015,26.76978523,26.883864,0.0,0.0,1.0,2.924,0.8173779236037436,1.3260950031951446,13.436837713710885,0.098605633,9.936362267
14,RL,0.06,0.0,0.025781114999999966,-0.0014429740000000014,0.06099340665873017,-0.0022351890952380937,0.03603169740476189,-0.0027376456666666667,29.455153896000002,29.794498,0.0,0.0,1.0,4.124,0.7103608666292085,1.0546937764874982,5.1626340484384405,0.065205336,6.524736881
15,FL,0.06,0.0,0.006870801999999732,0.000952368000000002,0.05929224735714278,-0.004576491333333349,-0.002521486182539723,-0.0025897294920634926,20.477852124,20.846014,0.0,0.0,1.0,3.66,1.253881751823816,1.2119995683237839,11.68657509453939,0.082685471,8.189813614
16,RR,0.06,0.0,0.022442433000000095,0.0028918440000000006,0.07106632657936507,0.006031861293650825,0.03465054271428575,0.007956083753968253,22.25815681,22.512236,0.0,0.0,1.0,4.592,2.0324075219312974,1.0717319370328626,2.148146363154186,0.064543784,6.45872736
17,FR,0.06,0.0,0.005258367999999958,-0.004051813999999999,0.06651909943650791,0.0024355694920635274,-0.00805979922222222,-0.002560595801587301,26.238362064999997,26.386459000000002,0.0,0.0,1.0,3.056,0.7478930399570481,1.2914489901687174,13.458594865625008,0.09680295,9.752134323
18,RL,0.06,0.0,0.025628256000000238,-0.0011691390000000022,0.06102913212698413,-0.0016045687222222271,0.035868388507936555,-0.0020525653174603173,29.52186008,29.85999,0.0,0.0,1.0,4.292,0.6934522518413232,1.066855034872268,5.1082595664281465,0.065637469,6.567878723
19,FL,0.06,0.0,0.006881845999999914,0.0006249640000000022,0.059485589571428465,-0.00410928528571422,-0.0025477524603175206,-0.0031249198174603185,20.752927429,21.105813,0.0,0.0,1.0,3.568,1.1909645114953666,1.2146781460160205,11.671831555402264,0.083353758,8.258735657
20,RR,0.06,0.0,0.022470278999999815,0.003056389999999998,0.07113553488888888,0.006464696841269824,0.03458453168253961,0.008510055619047621,21.830546609000002,22.068286,0.0,0.0,1.0,4.564,2.091882890192837,1.0637816892591863,2.2636143464252036,0.063976586,6.402008533
21,FR,0.06,0.0,0.005334156000000145,-0.004361958000000003,0.06559701550793662,0.003304941611111098,-0.0077553573809522325,-0.003202918150793652,25.637389529,25.823551000000002,0.0,0.0,1.0,3.168,0.673120959072665,1.296719858109244,13.470063821799268,0.09484446,9.551416397
22,RL,0.06,0.0,0.025445415000000082,-0.0009048869999999914,0.061045057119047626,-0.0010274896190475835,0.03565155063492059,-0.0014133901190476188,29.595792726,29.932498,0.0,0.0,1.0,4.236,0.673998787710585,1.0790245438492878,5.0484842531666665,0.066053748,6.609457493
23,FL,0.06,0.0,0.006909947999999999,0.00032585199999999974,0.05967512264285718,-0.0036504502460317223,-0.00256272058730167,-0.003644874984126984,21.055071497,21.390631,0.0,0.0,1.0,3.712,1.1197821830848165,1.2155627928517025,11.649560436726622,0.084214568,8.345475197
24,RR,0.06,0.0,0.03250576400000016,0.0032327099999999945,0.07413632811111111,0.008476471896825405,0.05086396831746043,0.010848402071428573,24.702823991,25.086192999999998,0.0,0.0,1.0,4.756,1.7126090086351864,1.3492151680316022,2.4410417117508842,0.072764516,7.28110075
25,FR,0.06,0.0,-0.009675262000000073,-0.006085580999999996,0.06743523246825378,0.003631612603174586,-0.02839209031746026,-0.0076460820476190496,26.805492011000002,26.889836,0.0,0.0,1.0,3.056,0.7721686314831664,1.6762139273475634,13.82240146146454,0.099443078,10.024657249
26,RL,0.06,0.0,0.02996084399999982,0.001266035999999993,0.06017621189682541,-0.0006614538888888299,0.04124128235714264,0.0020330710634920636,29.642072792,29.981074,0.0,0.0,1.0,4.096,0.6701348176360021,1.0893491287259862,5.036584141144053,0.066406548,6.6443367
27,FL,0.06,0.0,0.0060505730000000035,-0.0006945439999999914,0.05994271132539675,-0.0029798882698412743,-0.0037375124603172827,-0.005204217698412698,21.415205866999997,21.718636999999998,0.0,0.0,1.0,3.532,1.0218834056451114,1.2095936039504704,11.585414259573184,0.086071134,8.533514977
28,RR,0.06,0.0,0.0327561050000002,0.0036612469999999925,0.07388581602380948,0.008890638309523774,0.05070239612698413,0.011846188507936504,23.921635837,24.297398,0.0,0.0,1.0,4.672,1.8320221793947156,1.3104051842290618,2.564251369482097,0.070965052,7.10114336
29,FR,0.06,0.0,-0.009343640000000208,-0.006538921999999999,0.06628407331746033,0.004532180111111131,-0.027645178666666714,-0.00857415883333333,26.031056325999998,26.158208,0.0,0.0,1.0,3.144,0.6903739214954238,1.640409336363602,13.742153074430563,0.097543597,9.832947731
30,RL,0.06,0.0,0.02962851299999969,0.0016444279999999981,0.060024296865079374,-0.00012389448412694626,0.040712168547619,0.002857763603174603,29.697589417000003,30.027849,0.0,0.0,1.0,3.944,0.6490833742146439,1.0850348711202102,4.974804486046639,0.066183448,6.622474194
31,FL,0.06,0.0,0.006208078000000117,-0.0010496470000000025,0.0599210905158728,-0.0022914946428571337,-0.0036128013650792434,-0.005853156920634921,21.709067785000002,21.987872,0.0,0.0,1.0,3.536,0.9329354321767193,1.185707050767246,11.493400936317737,0.087489128,8.677627563
32,RR,0.06,0.0,0.03278147599999992,0.0038941060000000065,0.07080888939682536,0.007016609087301617,0.025949242182539578,-0.009625248142857142,23.048421611000002,23.401136,0.0,0.0,1.0,4.992,1.9579057625346568,1.3503422906061837,5.202735977708631,0.077935219,7.709813118
