step,leg,target_swing_x_m,target_swing_y_m,target_body_advance_x_m,target_body_advance_y_m,actual_swing_x_m,actual_swing_y_m,body_displacement_x_m,body_displacement_y_m,swing_clearance_mean_mm,swing_clearance_max_mm,swing_force_mean,swing_force_max,swing_zero_force_fraction,landing_force_mean,max_abs_roll_deg,max_abs_pitch_deg,max_support_drift_mm,max_abs_q_error_rad,max_abs_tau_est
1,FR,0.06,0.0,0.024999999999999998,0.0,0.051158738968254014,0.0019760096190476195,0.005851690722222212,0.007221510523809524,19.35750124124124,19.573855000000002,0.0,0.0,1.0,2.508,1.1406697605767673,1.1855373979641077,10.580612508940677,0.107997179,10.903129578
2,RL,0.06,0.0,0.027778001,-0.0057348200000000025,0.05012329106349206,-0.0145838962063492,0.03826576084126984,-0.013043907087301588,24.617327953,24.857549,0.0,0.0,1.0,3.8326693227091635,1.1681611923196162,0.8142833212564625,8.210633625825729,0.071314335,6.922780514
3,FL,0.06,0.0,0.01671359100000002,0.0057402050000000026,0.04588858342063498,-0.0028778784444443706,0.008329373428571428,0.002655428317460318,17.063213736999998,17.462325,0.0,0.0,1.0,3.288,1.4724909337670058,0.5558385037616684,7.53919331773567,0.095503688,9.538692474
4,RR,0.06,0.0,0.03159579600000001,0.0025093069999999984,0.0551968314285714,0.007012058341269861,0.04051861526984127,0.00702500907936508,22.290077736,22.380478,0.0,0.0,1.0,4.268,1.3388091658522159,0.8689092893315737,6.005624643188761,0.075925708,7.545078754
5,FR,0.06,0.0,0.017923393999999954,-0.0035059839999999984,0.057652071126984145,0.0005860033571429002,0.008405612626984138,-0.00034848452380952487,26.209573624,26.447763,0.0,0.0,1.0,2.988,0.8019662183514171,0.9224112860999769,9.534212581991394,0.091285348,9.139343262
6,RL,0.06,0.0,0.03254763100000005,-0.0025743929999999986,0.05963295292857142,-0.0032717978888889,0.04576021924603174,-0.00414544319047619,29.304937361,29.664358,0.0,0.0,1.0,4.0717131474103585,0.7013964262623711,0.8526344231608827,7.508811820223721,0.072000384,7.122918129
7,FL,0.06,0.0,0.014554191999999883,0.0011573859999999985,0.055147309317460314,-0.0068523081587301415,0.0066087733333333315,-0.00297893173015873,19.183148118,19.627342,0.0,0.0,1.0,3.749003984063745,1.5956978299754347,0.7850336539276954,9.853704081160512,0.078378916,7.83828783
8,RR,0.06,0.0,0.04122976500000011,0.003360109,0.07363609854761909,0.006251341412698369,0.06178326026984125,0.008971809293650795,24.711269608000002,25.047478,0.0,0.0,1.0,4.673306772908367,1.7145431422642095,1.2097963164183878,1.8025185700978654,0.070177615,7.022165298
9,FR,0.06,0.0,-0.0014161530000001143,-0.004483459999999999,0.06919429688095236,0.0002378583650793631,-0.01784182188888883,-0.0031312778968253974,28.054392884000002,28.139622,0.0,0.0,1.0,2.653386454183267,0.9551220195817905,1.492572875303223,13.60799262889947,0.102972388,10.384689331
10,RL,0.06,0.0,0.0281157640000001,-0.0010553680000000027,0.060610311801587304,-0.0029675548174602773,0.03897865534920633,-0.0025478198253968253,29.408308259000002,29.752961000000003,0.0,0.0,1.0,4.179282868525896,0.7285531360613048,1.0517029367969155,5.226364811608614,0.065114737,6.514602661
