pair_index,run_id,source_event,target_event,strict_pass,expected_sequence_ok,stage_stable,reference_rate_ok,first_target_ok,second_target_ok,first_response_ok,second_response_ok,posture_ok,dynamic_ok,max_abs_roll_rad,max_abs_pitch_rad,max_actual_velocity_jump_mps,max_wbc_full_eq_residual,duplicate_time_rows
1,001_obstacle-left__to__emergency-stop,obstacle_left,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.064035647,0.026706116,0.033634235139384815,2.924e-06,765
2,002_obstacle-left__to__obstacle-right,obstacle_left,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.076605134,0.030866452,0.03214149122558721,3.083e-06,1682
3,003_obstacle-left__to__turn-left,obstacle_left,turn_left,True,True,True,True,True,True,True,True,True,True,0.067808896,0.028049141,0.0344955958864389,4.202e-06,445
4,004_obstacle-left__to__turn-right,obstacle_left,turn_right,True,True,True,True,True,True,True,True,True,True,0.068872295,0.026318453,0.03310660502676914,3.23e-06,671
5,005_obstacle-left__to__slip,obstacle_left,slip,True,True,True,True,True,True,True,True,True,True,0.061638027,0.032130018,0.03272488807328783,3.576e-06,1942
6,006_obstacle-left__to__low-friction,obstacle_left,low_friction,True,True,True,True,True,True,True,True,True,True,0.066423632,0.027303465,0.06565501858443669,3.801e-06,952
7,007_obstacle-left__to__impact,obstacle_left,impact,True,True,True,True,True,True,True,True,True,True,0.058995742,0.031595845,0.035780868534168286,3.108e-06,1650
8,008_obstacle-right__to__emergency-stop,obstacle_right,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.06715364,0.026507698,0.02819131981883217,4.554e-06,1124
9,009_obstacle-right__to__obstacle-left,obstacle_right,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.076060407,0.026671084,0.03271759815907117,3.079e-06,1622
10,010_obstacle-right__to__turn-left,obstacle_right,turn_left,True,True,True,True,True,True,True,True,True,True,0.078220978,0.026455259,0.029594871279370622,3.28e-06,705
11,011_obstacle-right__to__turn-right,obstacle_right,turn_right,True,True,True,True,True,True,True,True,True,True,0.075089179,0.022657743,0.03194293739699881,3.884e-06,815
12,012_obstacle-right__to__slip,obstacle_right,slip,True,True,True,True,True,True,True,True,True,True,0.074961282,0.027198546,0.020224996241434635,4.37e-06,196
13,013_obstacle-right__to__low-friction,obstacle_right,low_friction,True,True,True,True,True,True,True,True,True,True,0.075895205,0.028889136,0.03422487534069817,4.423e-06,579
14,014_obstacle-right__to__impact,obstacle_right,impact,True,True,True,True,True,True,True,True,True,True,0.0673806,0.028524755,0.03412910531764585,4.489e-06,1814
15,015_turn-left__to__emergency-stop,turn_left,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.014950094,0.015815783,0.022200368524970256,4.287e-06,1421
16,016_turn-left__to__obstacle-left,turn_left,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.06147958,0.035910349,0.05025734452919514,6.098e-06,1533
17,017_turn-left__to__obstacle-right,turn_left,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.079814367,0.025998928,0.03491180693712811,4.222e-06,1188
18,018_turn-left__to__turn-right,turn_left,turn_right,True,True,True,True,True,True,True,True,True,True,0.020262815,0.01334277,0.016257570696254872,4.236e-06,297
19,019_turn-left__to__slip,turn_left,slip,True,True,True,True,True,True,True,True,True,True,0.019845121,0.018191684,0.027456320321123606,4.074e-06,207
20,020_turn-left__to__low-friction,turn_left,low_friction,True,True,True,True,True,True,True,True,True,True,0.021723704,0.01202579,0.020210482467598247,4.071e-06,393
21,021_turn-left__to__impact,turn_left,impact,True,True,True,True,True,True,True,True,True,True,0.022765584,0.01615297,0.022613500590035016,4.068e-06,1477
22,022_turn-right__to__emergency-stop,turn_right,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.01339979,0.018476222,0.019529286843297577,4.044e-06,1030
23,023_turn-right__to__obstacle-left,turn_right,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.074509755,0.023468805,0.0315588780952865,3.695e-06,1249
24,024_turn-right__to__obstacle-right,turn_right,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.067904636,0.031073665,0.04982413951024139,5.285e-06,539
25,025_turn-right__to__turn-left,turn_right,turn_left,True,True,True,True,True,True,True,True,True,True,0.016001837,0.018763099,0.015739111967195248,3.923e-06,434
26,026_turn-right__to__slip,turn_right,slip,True,True,True,True,True,True,True,True,True,True,0.018134093,0.015585562,0.01683406902659048,3.973e-06,349
27,027_turn-right__to__low-friction,turn_right,low_friction,True,True,True,True,True,True,True,True,True,True,0.021668084,0.016729958,0.020543785130236247,4.127e-06,441
28,028_turn-right__to__impact,turn_right,impact,True,True,True,True,True,True,True,True,True,True,0.019169925,0.014841636,0.014219876732724587,4.245e-06,447
29,029_slip__to__emergency-stop,slip,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.017365333,0.018443342,0.015007091142525924,2.303e-06,449
30,030_slip__to__obstacle-left,slip,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.078450449,0.024310298,0.033497933122827034,3.684e-06,432
31,031_slip__to__obstacle-right,slip,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.067695752,0.025720384,0.04628744365670692,4.573e-06,1488
32,032_slip__to__turn-left,slip,turn_left,True,True,True,True,True,True,True,True,True,True,0.016483285,0.017937379,0.02731645319941455,3.39e-06,1506
33,033_slip__to__turn-right,slip,turn_right,True,True,True,True,True,True,True,True,True,True,0.036814798,0.021094928,0.021052630622688657,4.675e-06,1045
34,034_slip__to__low-friction,slip,low_friction,True,True,True,True,True,True,True,True,True,True,0.01628123,0.016562402,0.022640447936029286,2.321e-06,1778
35,035_slip__to__impact,slip,impact,True,True,True,True,True,True,True,True,True,True,0.020141155,0.020619301,0.024348069643248926,2.224e-06,1011
36,036_low-friction__to__emergency-stop,low_friction,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.01820631,0.016488897,0.027057022323537835,1.81e-06,1337
37,037_low-friction__to__obstacle-left,low_friction,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.07608033,0.028730335,0.04550235317906564,3.595e-06,1105
38,038_low-friction__to__obstacle-right,low_friction,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.078678265,0.025737649,0.05123347504497922,2.778e-06,804
39,039_low-friction__to__turn-left,low_friction,turn_left,True,True,True,True,True,True,True,True,True,True,0.018826427,0.020115998,0.020389323532062197,3.174e-06,390
40,040_low-friction__to__turn-right,low_friction,turn_right,True,True,True,True,True,True,True,True,True,True,0.019076558,0.016832914,0.024483813333169204,4.589e-06,1759
41,041_low-friction__to__slip,low_friction,slip,True,True,True,True,True,True,True,True,True,True,0.018701673,0.019919693,0.026752394640311806,2.065e-06,363
42,042_low-friction__to__impact,low_friction,impact,True,True,True,True,True,True,True,True,True,True,0.015818646,0.015408895,0.024928318963965825,2.178e-06,1823
43,043_impact__to__emergency-stop,impact,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.014457776,0.017495451,0.016378113443888516,2.574e-06,980
44,044_impact__to__obstacle-left,impact,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.067520477,0.031833023,0.039528459162113776,4.029e-06,1657
45,045_impact__to__obstacle-right,impact,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.079204217,0.024938112,0.03415616948934743,3.105e-06,853
46,046_impact__to__turn-left,impact,turn_left,True,True,True,True,True,True,True,True,True,True,0.017079534,0.020576673,0.029275307722494398,4.615e-06,1093
47,047_impact__to__turn-right,impact,turn_right,True,True,True,True,True,True,True,True,True,True,0.019142322,0.022788474,0.021758654865924067,3.268e-06,605
48,048_impact__to__slip,impact,slip,True,True,True,True,True,True,True,True,True,True,0.017269425,0.017573932,0.018063972083207636,2.926e-06,1556
49,049_impact__to__low-friction,impact,low_friction,True,True,True,True,True,True,True,True,True,True,0.012980879,0.022167547,0.027332538956772855,2.665e-06,1560
