pair_index,run_id,source_event,target_event,strict_pass,expected_sequence_ok,stage_stable,reference_rate_ok,first_target_ok,second_target_ok,first_response_ok,second_response_ok,posture_ok,dynamic_ok,max_abs_roll_rad,max_abs_pitch_rad,max_actual_velocity_jump_mps,max_wbc_full_eq_residual,duplicate_time_rows
1,001_obstacle-left__to__emergency-stop,obstacle_left,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.060734224,0.026152885,0.02520448203328005,3.427e-06,1314
2,002_obstacle-left__to__obstacle-right,obstacle_left,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.068806082,0.030975988,0.0323928288527684,3.251e-06,1966
3,003_obstacle-left__to__turn-left,obstacle_left,turn_left,True,True,True,True,True,True,True,True,True,True,0.071689256,0.031362731,0.032281371594337895,4.321e-06,386
4,004_obstacle-left__to__turn-right,obstacle_left,turn_right,True,True,True,True,True,True,True,True,True,True,0.065805979,0.02681309,0.033753417339880194,3.197e-06,1601
5,005_obstacle-left__to__slip,obstacle_left,slip,True,True,True,True,True,True,True,True,True,True,0.064939722,0.030242495,0.03508661117002947,3.122e-06,1530
6,006_obstacle-left__to__low-friction,obstacle_left,low_friction,True,True,True,True,True,True,True,True,True,True,0.061975244,0.027296424,0.03597341363775443,3.73e-06,1933
7,007_obstacle-left__to__impact,obstacle_left,impact,True,True,True,True,True,True,True,True,True,True,0.067261688,0.031472586,0.03425951601592949,3.459e-06,1233
8,008_obstacle-right__to__emergency-stop,obstacle_right,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.067613222,0.030813711,0.03332495267422296,4.608e-06,988
9,009_obstacle-right__to__obstacle-left,obstacle_right,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.076287024,0.025814192,0.03078813992751275,3.76e-06,311
10,010_obstacle-right__to__turn-left,obstacle_right,turn_left,True,True,True,True,True,True,True,True,True,True,0.07517387,0.030387847,0.03634006756513588,4.414e-06,906
11,011_obstacle-right__to__turn-right,obstacle_right,turn_right,True,True,True,True,True,True,True,True,True,True,0.062799476,0.033141077,0.03282460663798025,3.744e-06,1571
12,012_obstacle-right__to__slip,obstacle_right,slip,True,True,True,True,True,True,True,True,True,True,0.068901308,0.025513757,0.03541767537676432,4.424e-06,1766
13,013_obstacle-right__to__low-friction,obstacle_right,low_friction,True,True,True,True,True,True,True,True,True,True,0.075250879,0.028235992,0.0336967062095567,4.567e-06,1171
14,014_obstacle-right__to__impact,obstacle_right,impact,True,True,True,True,True,True,True,True,True,True,0.062562168,0.033323761,0.03399473078224402,4.636e-06,1783
15,015_turn-left__to__emergency-stop,turn_left,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.019388841,0.015576464,0.018096851094808318,3.926e-06,409
16,016_turn-left__to__obstacle-left,turn_left,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.066265672,0.024978375,0.05689396728891076,4.295e-06,769
17,017_turn-left__to__obstacle-right,turn_left,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.086280651,0.034065537,0.03466290709434583,5.436e-06,458
18,018_turn-left__to__turn-right,turn_left,turn_right,True,True,True,True,True,True,True,True,True,True,0.022234373,0.016087394,0.02356134200049159,4.026e-06,735
19,019_turn-left__to__slip,turn_left,slip,True,True,True,True,True,True,True,True,True,True,0.017123215,0.015645113,0.02708106695090269,4.049e-06,1621
20,020_turn-left__to__low-friction,turn_left,low_friction,True,True,True,True,True,True,True,True,True,True,0.021717461,0.018361557,0.023906211939647867,3.435e-06,469
21,021_turn-left__to__impact,turn_left,impact,True,True,True,True,True,True,True,True,True,True,0.023804801,0.018235082,0.027242393334962072,4.079e-06,261
22,022_turn-right__to__emergency-stop,turn_right,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.016100707,0.015188443,0.016745289807210923,3.906e-06,436
23,023_turn-right__to__obstacle-left,turn_right,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.079897322,0.030694799,0.03420616729945828,4.945e-06,1251
24,024_turn-right__to__obstacle-right,turn_right,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.063640945,0.026891399,0.06851093204747336,4.116e-06,1469
25,025_turn-right__to__turn-left,turn_right,turn_left,True,True,True,True,True,True,True,True,True,True,0.026648518,0.020081505,0.039774135642746136,4.184e-06,403
26,026_turn-right__to__slip,turn_right,slip,True,True,True,True,True,True,True,True,True,True,0.018955635,0.021254346,0.02946970250033483,3.698e-06,1969
27,027_turn-right__to__low-friction,turn_right,low_friction,True,True,True,True,True,True,True,True,True,True,0.020932993,0.017188845,0.02107596184983627,4.119e-06,455
28,028_turn-right__to__impact,turn_right,impact,True,True,True,True,True,True,True,True,True,True,0.026483754,0.015652316,0.02053544982980407,3.974e-06,219
29,029_slip__to__emergency-stop,slip,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.012704978,0.015404349,0.026132026916029623,2.274e-06,1198
30,030_slip__to__obstacle-left,slip,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.073769584,0.026764615,0.03480018259748263,4.455e-06,705
31,031_slip__to__obstacle-right,slip,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.077191457,0.027902165,0.05007473168231365,4.3e-06,1130
32,032_slip__to__turn-left,slip,turn_left,True,True,True,True,True,True,True,True,True,True,0.020808151,0.021959506,0.02348992386729094,3.241e-06,340
33,033_slip__to__turn-right,slip,turn_right,True,True,True,True,True,True,True,True,True,True,0.022090649,0.020434348,0.027688010804148316,4.625e-06,1516
34,034_slip__to__low-friction,slip,low_friction,True,True,True,True,True,True,True,True,True,True,0.01681086,0.018528912,0.024242225319291072,2.261e-06,1812
35,035_slip__to__impact,slip,impact,True,True,True,True,True,True,True,True,True,True,0.017002268,0.018628947,0.027420645593358536,2.292e-06,1508
36,036_low-friction__to__emergency-stop,low_friction,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.020479251,0.020142196,0.02109105395670938,2.161e-06,328
37,037_low-friction__to__obstacle-left,low_friction,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.061298326,0.02632227,0.045605372201493036,3.625e-06,1866
38,038_low-friction__to__obstacle-right,low_friction,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.07301107,0.023403805,0.045647125764743016,3.742e-06,1438
39,039_low-friction__to__turn-left,low_friction,turn_left,True,True,True,True,True,True,True,True,True,True,0.018541599,0.01939423,0.028045300331635353,3.395e-06,1119
40,040_low-friction__to__turn-right,low_friction,turn_right,True,True,True,True,True,True,True,True,True,True,0.023423716,0.026621269,0.029307574847040233,3.333e-06,1325
41,041_low-friction__to__slip,low_friction,slip,True,True,True,True,True,True,True,True,True,True,0.021829443,0.020828743,0.025396147580797997,1.969e-06,264
42,042_low-friction__to__impact,low_friction,impact,True,True,True,True,True,True,True,True,True,True,0.021481277,0.021158697,0.026197669829682524,2.168e-06,977
43,043_impact__to__emergency-stop,impact,emergency_stop,True,True,True,True,True,True,True,True,True,True,0.017238224,0.019977024,0.01759602094081438,2.863e-06,740
44,044_impact__to__obstacle-left,impact,obstacle_left,True,True,True,True,True,True,True,True,True,True,0.072170325,0.024160022,0.03427629202243338,4.505e-06,1979
45,045_impact__to__obstacle-right,impact,obstacle_right,True,True,True,True,True,True,True,True,True,True,0.075040072,0.024156105,0.02926256902595157,4.366e-06,1661
46,046_impact__to__turn-left,impact,turn_left,True,True,True,True,True,True,True,True,True,True,0.025833115,0.024186675,0.01955382687219221,3.633e-06,1819
47,047_impact__to__turn-right,impact,turn_right,True,True,True,True,True,True,True,True,True,True,0.018183978,0.02122982,0.026818670112833558,3.333e-06,1427
48,048_impact__to__slip,impact,slip,True,True,True,True,True,True,True,True,True,True,0.015983487,0.020608965,0.026432099660984334,2.798e-06,972
49,049_impact__to__low-friction,impact,low_friction,True,True,True,True,True,True,True,True,True,True,0.014778364,0.017261002,0.015001462386160892,2.611e-06,476
